3D Baseball
Panzer Dragoon II Zwei
Panzer Dragoon Saga
Phantasy Star Collection
Policenauts
Power Drift (1988)
PowerSlave Exhumed
Pretty Fighter: FIST
Primal Rage
Princess Crown
Princess Maker 2
Princess Maker: Yumemiru Yousei
Princess Quest
Prisoner of Ice
Pro Pinball: The Web
Purikura Daisakusen
Puyo Puyo SUN
Puyo Puyo Tsu
Puzzle Bobble 2
Puzzle Bobble 3
QuackShot
Quake
Quantum Gate
Quarantine (1994)
R?MJ: The Mystery Hospital
Radiant Silvergun
Rampage World Tour
Rayman
Rayman 2: The Great Escape
RayStorm (2010)
Real Bout Fatal Fury Special
Resident Evil
Return to Zork
Revolution X (1994)
Rise 2: Resurrection
Riven: The Sequel to Myst
Road Rash (1996)
Robo Pit
Robotica: Cybernation Revolt
Romance of the Three Kingdoms
Romance of the Three Kingdoms IV: Wall of Fire
Ronde
Sakura Wars (1996)
Sakura Wars 2: Thou Shalt Not Die
Samurai Shodown III: Blades of Blood
Sangokushi V
Saturn Bomberman
Saturn Bomberman Fight!!
Scud: The Disposable Assassin
Sega Rally Championship (1995)
Sega Worldwide Soccer
Seifuku Densetsu: Pretty Fighter X
Sengoku Blade
Sentimental Graffiti
Sexy Parodius
Shellshock (core design)
Shienryu
Shin Megami Tensei: Devil Summoner
Shin Megami Tensei: Devil Summoner: Soul Hackers (1997)
Shining Force III
Shining the Holy Ark
Shining Wisdom
Shinobi Legions
Shinrei Jusatsushi Tarōmaru
Shinseiki Evangelion
Shinsetsu Samurai Spirits: Bushidou Retsuden
Sid Meier's Civilization
Silhouette Mirage
SimCity 2000
SimTower
Slayers Royal
Slayers Royal 2
Snatcher
SOL DIVIDE -SWORD OF DARKNESS
Solar Eclipse
Sonic & Knuckles
Sonic 3D Blast (1996)
Sonic Jam
Sonic R
Sonic Wings Special
Soviet Strike (1996)
Space Harrier (1986)
Space Hulk: Venegance of the Blood Angels
Space Jam (1996)
Spot Goes To Hollywood
Steam-Heart's
Stellar Assault SS
Street Fighter Alpha 2
Street Fighter Alpha 3 (1998)
Street Fighter Alpha: Warriors' Dreams
Street Fighter Collection
Street Fighter: The Movie
Street Racer
Strikers 1945
Strikers 1945 II
Suikoden
Super Adventure Rockman
Super Puzzle Fighter II Turbo
Super Tempo
Tactics Ogre: Let Us Cling Together
Tecmo Stackers
Tempest 2000
Ten Pin Alley
Tetris Plus
The Crow: City of Angels
The Incredible Hulk: The Pantheon Saga
The King of Fighters '95
The King of Fighters '96
THE KING OF FIGHTERS '97
The Legend of Oasis
The Lost World: Jurassic Park
The Need for Speed
Theme Park
Three Dirty Dwarves
Thunder Force V: Perfect System
Time Commando
TNN Motorsports Hardcore 4x4
Tokimeki Memorial 2: Taisen Puzzle-Dama
Tokimeki Memorial: Forever with You
Tomb Raider
Tomb Raider: Unfinished Business
Top Shop
Tunnel B1
Twinkle Star Sprites (1996)
Ultimate Mortal Kombat 3
Uncharted Waters: New Horizons
Vandal Hearts
Virtua Cop 2
Virtua Fighter
Virtua Fighter 2 (1995)
Virtua Racing
Virtual Casino
Virtual Hydlide
Virtual Open Tennis
Virtual Volleyball
Virus (1997)
Wachenroder
Warriors of Fate
Welcome House
Whizz (Old)
Williams Arcade's Greatest Hits
Wing Arms
Winning Post
Winning Post 2
Winning Post 2 - Program '96
Winning Post 2 Final '97
Winning Post 3
Winning Post 3 Program '98
Wipeout (1995)
Wipeout 2097
WORLD HEROES PERFECT
World Series Baseball
World Series Baseball II
Worldwide Soccer
Worms
WWF in Your House
WWF WrestleMania: The Arcade Game
X-Men vs. Street Fighter
X-Men: Children of the Atom (1995)
YU-NO: A Girl Who Chants Love at the Bound of this World
Z (1996)
Z: The Game
仙剑奇侠传
