Socket,
Sol-Feace,
Sonic & Knuckles,
Sonic 3 and Knuckles,
Sonic 3D Blast (1996),
Sonic Spinball,
Sonic Spinball (1993),
Sonic the Hedgehog (1991),
Sonic the Hedgehog 2,
Sonic the Hedgehog 3 (1994),
Sorcerer's Kingdom,
Sorcerian,
Space Harrier II (1988),
Space Invaders (1978),
Sparkster: Rocket Knight Adventures 2,
Speedball 2: Brutal Deluxe,
Spider-Man (1995),
Spider-Man and the X-Men in Arcade's Revenge,
Spider-Man and Venom: Maximum Carnage,
Spirou,
Splatterhouse 2 (1992),
Splatterhouse 3,
Sports Talk Baseball,
Spot Goes To Hollywood,
Squirrel King,
SRD: Super Real Darwin,
Star Control,
Star Cruiser,
Star Trek: The Next Generation: Echoes from the Past,
Starflight,
Stargate,
Stargate (1995),
Steel Empire,
Steel Talons,
Stone Protectors,
Stormlord (1989),
Street Fighter II: Champion Edition,
Street Fighter II: The World Warrior (1991),
Street Racer,
Street Smart (1989),
Streets of Rage,
Streets of Rage 2,
Streets of Rage 3,
Strider (1989),
Strider 2 (1999),
Strider II,
Striker,
Sub-Terrania,
Sunset Riders,
Super 3D Noah's Ark,
Super 3-D Noah's Ark,
Super Airwolf,
Super Baseball 2020,
Super Battleship,
Super Battletank,
Super Caesars Palace,
Super Donkey Kong 99 (Bootleg),
Super Fantasy Zone (1992),
Super Hang-On (1988),
Super High Impact,
Super Hydlide,
Super Monaco GP,
Super Off Road,
Super Skidmarks,
Super Star Wars,
Super Street Fighter II: The New Challengers,
Super SWIV,
Super Thunder Blade (1988),
Superman: The Man of Steel (1992),
Switchblade,
Sword of Sodan,
Sword of Vermilion (1989),
Sylvester and Tweety in Cagey Capers,
Syndicate,
Syndicate (1993),
Taikou Risshiden V,
TaleSpin,
Target Earth,
Task Force Harrier EX,
Taz in Escape from Mars,
Taz-Mania,
Team USA Basketball,
Techno Cop,
Technoclash,
Tecmo Cup Soccer Game,
Tecmo Super Baseball,
Tecmo Super Bowl,
Tecmo Super Bowl II: Special Edition,
Tecmo Super Bowl III: Final Edition,
Tecmo Super Hockey,
Tecmo Super NBA Basketball,
Tecmo World Cup '90,
Teddy Boy Blues,
Teenage Mutant Ninja Turtles: The Hyperstone Heist,
Teenage Mutant Ninja Turtles: Tournament Fighters,
Tel-Tel Mahjong,
Tel-Tel Stadium,
Terminator 2: Judgment Day,
Tetris (1984),
The Adventures of Batman and Robin,
The Amazing Spider-Man vs. The Kingpin,
The Aquatic Games starring James Pond and the Aquabats,
The Berenstain Bears' Camping Adventure,
