2021: Moon Escape
Desert Strike
Dexterity
Dick Tracy (1990)
Dig Dug (1982)
Disney's Aladdin
Disney's Darkwing Duck
Disney's DuckTales
Disney's DuckTales 2
Disney's Hercules
Disney's Mulan
Disney's Pocahontas
Disney's The Jungle Book
Disney's The Lion King
Disney•Pixar A Bug's Life
Donald in Maui Mallard
Donkey Kong
Donkey Kong (1994)
Donkey Kong Land
Donkey Kong Land 2
Donkey Kong Land 3
Double Dragon
Double Dragon III: The Sacred Stones (1991)
Double Dribble (1987)
Dr. Franken
Dr. Mario
Dragon Quest (1986)
Dragon Slayer (1984)
Dragon Warrior Monsters
Dragon Warrior Monsters 2
Dragon's Lair: The Legend
Dropzone (1984)
E-Motion
Earthworm Jim
Elevator Action (1983)
Elite
Exodus (1991)
F-1 Race
F-1 Spirit
F-15 Strike Eagle
Family Stadium
Fatal Fury 2 (1992)
Felix the Cat
FIFA (1993)
FIFA 97
FIFA: Road to World Cup 98
Final Fantasy Adventure
Final Fantasy Legend II
Final Fantasy Legend III
Foreman For Real
Fortified Zone (1991)
Frank Thomas Big Hurt Baseball
Frisky Tom
Frogger (1981)
Galaga (1981)
Galaxian
Game & Watch
Game & Watch Gallery
Game Boy Camera
Game Boy Wars
Game de Hakken!! Tamagotchi 2
Ganbare Goemon: Sarawareta Ebisumaru!
Gargoyle's Quest (1990)
Gargoyle's Quest II
Gauntlet II
Genesis (itch) (User0x7f)
George Foreman's KO Boxing
Ghostbuster 2
Go Go Ackman
Go! Go! Tank
Goal! (1988)
God Medicine
Godzilla (1990)
Goldfish Warning!
Golf (1980)
Grand Theft Auto
Great Greed
Gremlins 2: The New Batch
Gulliver Boy
Gunship (itch) (User0x7f)
Hammerin' Harry
Harry Potter and the Sorcerer's Stone
Harvest Moon GB
Hatris
He Fucked The Girl Out Of Me
Head On
Heavyweight Championship Boxing
Heiankyo Alien
High Stakes Gambling
Hiryū no Ken
Hit the Ice
Home Alone
Hook (1991)
Horizon Zero Dawn - Game Boy Classic - DEMO
Hudson Hawk
Hugo (1991)
Hyper Lode Runner
Ikari no Yousai 2
Indiana Jones and the Last Crusade: The Action Game
International Rally Championship
International Superstar Soccer
Iron Man and X-O Manowar in Heavy Metal
Ironman/X-O Manowar in 'Heavy Metal'
Ishido: The Way of Stones
J-League Fighting Soccer
J-League Winning Goal
James Bond 007 (1998)
James Pond 2: Codename Robocod
Jeep Jamboree: Off Road Adventure
Jelly Boy
Jimmy Connors Tennis
Joe & Mac
Jordan vs Bird: One on One
Joshua & the Battle of Jericho
Joust
Judge Dredd
Jungle Strike
Jurassic Park
Jurassic Park 2: The Chaos Continues
Kaeru no Tame ni Kane wa Naru
Kaijuu-Oh Godzilla
Ken Griffey Jr. Presents Major League Baseball
Kick Off
Kid Dracula
Kid Icarus: Of Myths and Monsters
Killer Instinct (1994)
Kingdom Crusade
Kirby's Block Ball (1995)
Kirby's Dream Land (1992)
Kirby's Dream Land 2 (1995)
Kirby's Pinball Land (1993)
Kirby's Star Stacker (1997)
Klax
Knight Quest (gameboy)
Konami GB Collection
Krusty's Fun House
Kung-Fu Master
Kwirk
Lamborghini American Challenge
Las Vegas Cool Hand
Last Action Hero
Legend of the River King
Lemmings
Lemmings 2: The Tribes
Lethal Weapon
List of Namco video game compilations
List of Nintendo Entertainment System games
Lock 'n' Chase
Looney Tunes
Looney Tunes 2: Tasmanian Devil in Island Chase
Loopz
M.C. Kids
Madden NFL
Madden NFL '95
Madden NFL '96
Madden NFL 97
Magic Knight RayEarth 2nd: The Missing Colors
Magipanels
Magnetic Soccer
Mahou Kishi Rayearth (GB)
Marble Madness
Mario & Yoshi
Mario Golf (1984)
Mario's Picross
Maru's Mission (1990)
Maui Mallard in Cold Shadow
Mega Man II(3Ds/GB)
Mega Man III
Mega Man V
Mega Man V (1994)
Mega Man: Dr. Wily's Revenge
Megalit
Megami Tensei Gaiden: Last Bible
Metal Masters
Metroid II - Return of Samus
Mickey Mouse: Magic Wands!
Mickey's Dangerous Chase
Mickey's Ultimate Challenge
Micro Machines (Old)
Micro Machines 2: Turbo Tournament
Mighty Morphin Power Rangers
Mighty Morphin Power Rangers: The Movie (BG)
Millipede
Milon's Secret Castle (1988)
Miner 2049er
Miner 2049er (1982)
Minesweeper (1989)
Mini-Putt
Missile Command
Missile Command (1980)
Mole Mania (1996)
Money Idol Exchanger (1997)
Monopoly (1995)
Monster Max
Mortal Kombat
Mortal Kombat 2
Mortal Kombat 3
Mortal Kombat 4
Motocross Maniacs
Mouse Trap Hotel
Mr. Do!
Mr. Nutz
Ms. Pac-Man
MTV's Beavis and Butt-Head
Muhammad Ali Heavyweight Boxing
Musashi, the Samurai Lord
Mysterium (1991)
Mystery Dungeon: Shiren the Wanderer (1995)
MYSTICAL NINJA starring GOEMON (GB)
Nail 'n' Scale
Navy SEALS (1990)
NBA All-Star Challenge
NBA Jam (1994)
NBA Live 96
Nebulus
Nemesis (1990)
Nemesis II
NES Play Action Football
New Ghostbusters II
NFL Quarterback Club
NFL Quarterback Club 96
NHL 95
NHL 96
Nigel Mansell's World Championship Racing
Ninja Boy
Ninja Boy 2
Ninja Gaiden Shadow
Ninja Spirit (1988)
Ninja Taro
Nintendo World Cup
Nobunaga's Ambition (2009)
Noobow
Oddworld Adventures
Olympic Summer Games
One-Hit Wonder
Oni IV: Kishin no Ketsukozoku
Operation C
Opossum Country
Othello (1986)
Out of Gas
Out to Lunch
Pac-Attack (1993)
Pac-In-Time
Pac-Man
Palamedes
Panel Action Bingo
Paperboy
Paperboy 2
Papuwa
Parasol Henbee
Parasol Stars
Parodius Da!
Penguin Wars
Picross 2
Pinball Dreams (1992)
Pinball Fantasies (1992)
Pinball: Revenge of the Gator
Pinocchio (1996)
Pipe Mania (1989)
Pit-Fighter
Pitman (1990)
Plotting
Pocket Bomberman
Pocket Monsters (Pokemon Green Version)
Pokemon Blue
Pokémon Blue Version
Pokemon Brown (ROM Hack)
Pokémon Gold, Silver
Pokémon Puzzle Challenge
Pokémon Red Version
Pokémon Red, Blue, Yellow
Pokemon Regulation Red / Blue
Pokemon Yellow
Pokémon Yellow Version: Special Pikachu Edition
Pop'n TwinBee
Popeye
Popeye 2
Populous
Prehistorik 2
Primal Rage
Prince of Persia (1989)
Prisoners of the Sun
Puyo Puyo
Puyo Puyo Tsu
Puzzle Bobble 2
Puzzle: Star Sweep
Puzznic
Q*bert
QBillion
Qix (1990)
Quarth (1990)
R-Type (1987)
R-Type II (1992)
Race Days
Race Drivin'
Racing Damashii
Radar Mission (1990)
Radical Rex
Raging Fighter
Rampart (1990)
Rats!
Real Bout Fatal Fury Special
Revenge of the 'Gator
Riddick Bowe Boxing
Road Rash (1991)
Robin Hood: Prince of Thieves
RoboCop Versus The Terminator
RodLand
Roger Clemens' MVP Baseball
Rolan's Curse
Rolan's Curse II
Roller Coaster
Romance of the Three Kingdoms
Sam Mallard - The Case of the Missing Swan
SameGame
Samurai Shodown
Samurai Shodown III (2007)
Satoru Nakajima F-1 Hero GB World Championship '91
Sea Battle (1980)
Serpent
Shadowgate Classic
Shanghai
Shaq Fu
Shippū! Iron Leaguer
Shuyaku Sentai Irem Fighter
Side Pocket (1986)
Skate or Die: Bad 'N Rad
Skate or Die: Tour de Thrash
Small Soldiers
Snake Rattle 'n' Roll
Snoopy's Errand Adventures
Snoopy's Magic Show
Snow Bros. Jr
Soccer (1985)
Soccer (1991)
Soccer Mania
Solar Striker
SolarStriker
Solomon's Club
Space Invaders (1978)
Spanky's Quest
Speedball 2: Brutal Deluxe
Speedy Gonzales
Spider-Man 3: Invasion of the Spider-Slayers
Spider-Man and the X-Men in Arcade's Revenge
Spirou
Sports Collection
Sports Illustrated: Championship Football & Baseball
Spot: The Cool Adventure
Spot: The Video Game
Spud's Adventure
Spy vs. Spy
Square Deal: The Game of Two Dimensional Poker
Star Ocean: Blue Sphere
Star Trek Generations: Beyond the Nexus
Star Trek: 25th Anniversary
Star Trek: The Next Generation
Star Trek: The Next Generation (1993)
Star Wars (1983)
Stargate (1995)
Stop That Roach!
Street Fighter II: The World Warrior (1991)
Street Racer
Sumo Fighter
Super Battletank
Super Chinese Fighter GB
Super Chinese Land 1-2-3
Super Chinese Land 3
Super Chinese World 2
Super Dodge Ball (1988)
Super Hunchback
Super Mario Land
Super Mario Land 2: 6 Golden Coins
Super Momotarou Dentetsu
Super Off Road
Super R.C. Pro-Am
Super Star Wars: Return of the Jedi
Survival Kids
Swamp Thing
Tail 'Gator
TaleSpin
Tamagotchi
Tarzan: Lord of the Jungle
Tasmania Story
Taz-Mania 2
Tecmo Bowl (1990)
Teenage Mutant Ninja Turtles II: Back from the Sewers
Teenage Mutant Ninja Turtles III: Radical Rescue
Teenage Mutant Ninja Turtles: Fall of the Foot Clan
Tennis
Terminator 2: Judgment Day
Tesserae (1990)
Tetris (1984)
Tetris 2
Tetris Attack
Tetris Plus
The Addams Family
The Adventures of Rocky and Bullwinkle and Friends
The Adventures of Star Saver
The Amazing Spider-Man (1990)
The Amazing Spider-Man 2 (1992)
The Battle of Olympus
The Black Bass
The Blues Brothers
The Bugs Bunny Crazy Castle 2
The Bugs Bunny Crazy Castle(GB)
The Final Fantasy Legend
The Flash
The Getaway: High Speed II
The Glory of Heracles: Snap Story
The Humans
The Hunchback of Notre Dame: Topsy Turvy Games
The Hunt for Red October
The King of Fighters '95
The King of Fighters '96
The Lawnmower Man
The Legend of Zelda: Link's Awakening (1993)
The Little Mermaid
The Lost World: Jurassic Park
The Pagemaster
The Real Ghostbusters
The Ren & Stimpy Show: Veediots!
The Rescue of Princess Blobette
The Rugrats Movie
The Shapeshifter (2021)
The Simpsons: Bart & the Beanstalk
The Simpsons: Bart vs. The Juggernauts
The Simpsons: Itchy & Scratchy in Miniature Golf Madness
The Smurfs (1994)
The Smurfs Travel the World
The Sword of Hope
The Sword of Hope II (1992)
The Tower of Druaga (1984)
Timeball
Tintin in Tibet
Tintin: Prisoners of the Sun
Tiny Toon Adventures 2: Montana's Movie Madness
Tiny Toon Adventures: Babs' Big Break
Tiny Toon Adventures: Wacky Sports Challenge
Tiny Toon Adventures: Wacky Sports Challenge (1994)
Titus the Fox (GB, GBC)
Top Gun: Guts and Glory
Total Carnage (1992)
Tottemo! Lucky Man: Lucky Cookie Minna Daisuki!!
Tower Toppler (Nebulus)
Toxic Crusaders
Toy Story
Toy Story (1995)
Toy Story (SNES)
Track & Field
Track Meet
Trip World
True Lies
Tumblepop
Turn and Burn: The F-14 Dogfight Simulator
Turok: Battle of the Bionosaurs
Turok: Dinosaur Hunter
Turrican
Turrican II: The Final Fight
TV Champion
Ultima (Old)
Ultima: Runes of Virtue
Ultima: Runes of Virtue II (GB)
Ultra Golf
Undercover Cops: Hakaishin Garumaa
Urban Strike
Vegas Stakes (1993)
Viking Child
Wario Blast
Wario Land 2
Wario Land: Super Mario Land 3
Waterworld (1995)
Wave Race
Wayne's World
WCW World Championship Wrestling: The Main Event
Who Framed Roger Rabbit
WildSnake
Wily & Right no RockBoard: That's Paradise
Winter Olympics
Wizardry
Wizards & Warriors X: The Fortress of Fear
Wordtris
WordZap (1991)
World Cup 98
World Cup USA '94
World Heroes 2 Jet (1994)
Worms
WWF King of the Ring
WWF Raw
WWF Superstars
WWF Superstars 2
WWF War Zone
WWF Warzone
X
Xenon 2 Megablast
Xenon 2: Megablast
Xerd no Densetsu
Yakuman
Yogi Bear's Gold Rush
Yoshi
Yoshi's Cookie
Yu-Gi-Oh! Duel Monsters
Yu-Gi-Oh! Monster Capsule GB
Yuu Yuu Hakusho
Zelda's Adventure
Zen: Intergalactic Ninja
Zool
