1 vs. 100
Chronicles of Vampires: Origins
Chronicles of Vampires: The Awakening
Chrono Trigger
Chronos Twins
Chrylser Classic Racing
Chuck E. Cheese's Alien Defense Force
Chuck E. Cheese's Arcade Room
Ciao Dream Touch! Happy Anniversary
Cid to Chocobo no Fushigi na Dungeon
Clash of Elementalists
Classic Action: Devilish
Classic Word Games
Cloudy with a Chance of Meatballs
Club Penguin: Elite Penguin Force
Clubhouse Games
Clubhouse Games Express: Card Classics
Clubhouse Games Express: Family Favorites
Clubhouse Games Express: Strategy Pack
Clue / Mouse Trap / Perfection / Aggravation
Cocoto Kart Racer
Code Lyoko
Code Lyoko: Fall of X.A.N.A.
Colin McRae: DiRT 2
Color Commando
Color Cross
Colour Cross
Come On! Dragons
Come on! Heroes
Command & Destroy
Command and Destroy
Commando: Steel Disaster
Contact
Contra 4
Cookie & Cream
Cookie Shop
Cooking Mama
Cooking Mama 2: Dinner with Friends
Cooking Mama 3: Shop and Chop
CORALINE (DS)
COROPATA
Corvette Evolution GT
Cory in the House
Cosmo Fighters
Cosmos X2
Cradle of Rome
Crafting Mama
Crash Boom Bang!
Crash of the Titans
Crash-Course Domo
Crash: Mind Over Mutant
Crayola Treasure Adventures
Crayon Shin-chan: Arashi o Yobu Kasukabe Eiga Stars!
Crayon Shin-Chan: Arashi wo Yobu Nutte Crayoon Daisakusen
Crazy Cheebo: Puzzle Party
Crazy Chicken Pirates
Crazy Chicken: Atlantis Quest
Crazy Chicken: Star Karts
Crazy Chicken: The Pharaoh's Treasure
Crazy Golf
Crazy Hamster
Crazy Hunter
Crazy Pinball
Crazy Sudoku
Crazy Train
Crime Scene
Cross Treasures
Crosswords DS
Crystal Adventure
Crystal Caverns of Amon-Ra
Crystal Monsters
CSI: Crime Scene Investigation: Unsolved!
CSI: Dark Motives
CSI: Deadly Intent - The Hidden Cases
Culdcept
Curious George
Curling Super Championship
Custom Robo Arena
Cut the Rope
Cute Witch! Runner
Dagedar
Daigasso! Band Brothers
Dairojo! Samurai Defenders
Dancing Academy
Dancing on Ice
Dancing with the Stars: We Dance!
Daniel X
Dark Void Zero
Datamine
Date or Ditch
Dawn of Discovery
Dawn of Heroes
Deal or No Deal - The Banker Is Back!
Death Jr. and the Science Fair of Doom
Death Note: Kira Game
Death Note: L o Tsugu Mono
DeBlob2
DECA SPORTS DS
Decathlon 2012
Deep Labyrinth
DEEP SEA CREATURES
Defendin' De Penguin
Defense of the Middle Kingdom
Delbo
Deltora Quest: 7-tsu no Houseki
Dementium II
Dementium: The Ward
Dengeki Gakuen RPG: Cross of Venus
Densetsu no Starfy 4
Desktop Tower Defense
Despicable Me: The Game - Minion Mayhem
Destiny Links
Devil Band - Rock the Underworld
Di-Gata Defenders
Diabolik: The Original Sin (DS)
Diamond Trust of London
Diary Girl
Did It Myself ABC123
Diddy Kong Racing DS
Dig Dug Digging Strike
Dig Dug: Digging Strike
Digger Dan & Kaboom
Digging for Dinosaurs
Digimon Story Lost Evolution
Digimon Story: Super Xros Wars Blue/Red
Digimon World Championship
Digimon World DS
Digimon World Dusk
Digimon World: Dawn
Diner Dash: Sizzle and Serve
Dino Master: Dig, Discover, Duel
Dino Pets
Dinosaur King
Discolight
Discovery Kids Snake Safari
Discovery Kids Spider Quest
Discovery Kids: Dolphin Discovery
Discovery Kids: Kitten Corner
Discovery Kids: Parrot Pals
Discovery Kids: Pony Paradise
Discovery Kids: Puppy Playtime
Disgaea DS
Disgaea: Afternoon of Darkness
Disney Alice in Wonderland
Disney Big Hero 6
Disney Big Hero 6: Battle in the Bay
Disney Club Penguin: Elite Penguin Force: Herbert's Revenge
Disney Fairies: Tinker Bell
Disney Fairies: Tinker Bell and the Great Fairy Rescue
Disney Fairies: Tinker Bell and the Lost Treasure
Disney Fireworks
Disney Friends
Disney JONAS
Disney Planes
Disney Planes: Fire & Rescue
Disney Princess: Enchanting Storybooks
Disney Princess: Magical Jewels
Disney Stitch Jam
Disney Tangled: The Video Game
Disney The Princess and the Frog
Disney Wizards of Waverly Place
Disney: The Suite Life of Zack & Cody
Disney's A Christmas Carol
Disney's American Dragon: Jake Long, Attack of the Dark Dragon
Disney's Bolt
Disney's Chicken Little: Ace in Action
Disney's Cory in the House
Disney's Herbie Rescue Rally
Disney's Kim Possible: Global Gemini
Disney's Kim Possible: Kimmunicator
Disney's Meet the Robinsons
Disney's That's So Raven: Psychic on the Scene
Disney's The Little Mermaid: Ariel's Undersea Adventure
Disney•Pixar Cars 2: The Video Game
Disney•Pixar Cars Mater-National Championship
Disney•Pixar Toy Story 3: The Video Game
Disney•Pixar's Finding Nemo: Escape to the Big Blue
Diva Girls: Divas on Ice
Divergent Shift
DJ Star
DK: Jungle Climber
Doctor Who: Evacuation Earth
DodoGo!
DodoGo! Challenge
DodoGo! Robo
Dogz
Dokapon Journey
Doki Doki Majo Shinpan!
Doki Majo Plus
Dokidoki Majo Shinpan! 2
Dolphin Island: Underwater Adventures
Don King Boxing
Don't Cross The Line
Don't Feed the Animals
Donkey Kong: Jungle Climber
Doodle Fit
Doodle Hex
Doodle Jump Adventures
Doodle Jump Journey
Dora & Kai-lan's Pet Shelter
Dora Puppy
Dora the Explorer: Dora Saves the Mermaids
Dora the Explorer: Dora Saves the Snow Princess
Dora the Explorer: Dora's Big Birthday Adventure
Dora the Explorer: Dora's Cooking Club
DotMan
Double Bloob
Double Sequence: The Q Virus Invasion
DOWNTOWN TEXAS HOLD 'EM
Dr Kawashima's Brain Training
Dr. Mario Express
Dr. Seuss: How the Grinch Stole Christmas
Dracula - Undead Awakening
Draglade
Draglade 2
Dragon Ball Kai: Ultimate Butoden
Dragon Ball Z: Attack of the Saiyans
Dragon Ball Z: Harukanaru Densetsu
Dragon Ball Z: Supersonic Warriors 2
Dragon Ball: Origins
Dragon Ball: Origins 2
Dragon Booster
Dragon Quest 6: Realms of Revelation
Dragon Quest Heroes: Rocket Slime
DRAGON QUEST IV
Dragon Quest IV: Chapters of the Chosen
Dragon Quest IX: Sentinels of the Starry Skies
Dragon Quest Monsters: Joker
Dragon Quest Monsters: Joker 2
Dragon Quest Monsters: Joker 2 Professional
Dragon Quest V: Hand of the Heavenly Bride
Dragon Quest VI: Realms Of Revelation
Dragon Quest Wars
Dragon Tamer Sound Spirit
Dragon's Lair
Dragon's Lair HD
Dragon's Lair II: Time Warp
Dragonology
Drama Queens
Drawn to Life
Drawn to Life Collection
Drawn to Life: SpongeBob SquarePants Edition
Drawn to Life: The Next Chapter
Dream Dancer
Dream Day Wedding Destinations
Dream Pinball 3D
Dream Salon
Dreamer Series: Top Model
Dreamer: Babysitter
Dreamer: Horse Trainer
Dreamer: Pop Star
Dreamer: Puppy Trainer
Dreamer: Shop Owner
Dreamwalker
DreamWorks Super Star Kartz
Drift Street International
Drivers Ed Portable
Drone Tactics
Dropcast
DS Dengeki Bunko: Allison
DS Dengeki Bunko: Inukami! feat. Animation
DS Dengeki Bunko: Iria no Sora, UFO no Natsu
Ducati Moto
Duel Love: Koisuru Otome wa Shouri no Megami
Duke Nukem: Chain Reaction
Duke Nukem: Critical Mass
Duke Nukem: Proving Grounds
Dungeon Explorer: Door of the Covenant
Dungeon of Windaria
Dungeon Raiders (2010)
Dynasty Warriors DS: Fighter's Battle
EA Playground
Earthworm Jim
Easter Eggztravaganza
Easy Piano
Eco Creatures: Save the Forest
Ecolis: Aoi Umi to Ugoku Shima
Ed, Edd 'n Eddy: Scam of the Century
Egg Monster Hero
EJ Puzzles: Hooked
El Tigre The Adventures of Manny Rivera
Elebits: The Adventures of Kai and Zero
Electroplankton
Electroplankton Beatnes
Electroplankton Hanenbow
Electroplankton Lumiloop
Electroplankton Luminarrow
Electroplankton Marine-Crystals
Electroplankton Nanocarp
Electroplankton Rec-Rec
Electroplankton Sun-Animalcule
Electroplankton Trapy
Electroplankton Varvoice
Element Hunters
Elemental Masters
Elemental Monster: Gochuushin no Nazo
Elements of Destruction
Elf Bowling 1 & 2
Elite Beat Agents
Elite Forces: Unit 77
Elminage II: Sousei no Megami to Unmei no Daichi
Elminage Original
Emergency Room - Real Life Rescues
Emergency! Disaster Rescue Squad
Emily the Strange: Strangerous
Emma at the Farm
Emma in the Mountains
Enchanted
Ener-G Dance Squad
Ener-G Gym Rockets
Ener-G Horse Riders
Eragon (DS/GBA)
Escape the Virus: Shoot'em Up
Escape the Virus: Swarm Survival
Escape Trick -Ninja Castle
Escape Trick: Convenience Store
Escape Trick: The Secret of Rock City Prison
Escapee GO!
Essential Sudoku DS
Etrian Odyssey
Etrian Odyssey II: Heroes of Lagaard
Etrian Odyssey III: The Drowned City
Everyday Soccer
EXIT DS
Extreme Hangman
Extreme Hangman 2
F24 Stealth Fighter
Fab 5 Soccer
FabStyle
Face Pilot: Fly With Your Nintendo DSi Camera!
Faceez
Faceez! Monsters
Fairyland Melody Magic
Family Park Tycoon
Famous
Fancy Nancy: Tea Party Time!
Fantastic Four: Rise of the Silver Surfer
Fantasy Aquarium
Fantasy Aquarium by DS
Fantasy Slots: Adventure Slots and Games
Far East of Eden II: Manji Maru
Farm Frenzy
Fashion Designer: Style Icon
Fashion Studio Paris Collection
Fashion Tycoon
Fashion Week Junior Designer
Fast Food Panic
Feel the Magic: XY/XX
Ferrari Challenge: Trofeo Pirelli
Ferrari GT: Evolution
FIFA 07
FIFA 08
FIFA Soccer 06
FIFA Soccer 09
FIFA Soccer 10
FIFA Street 2
FIFA Street 3
Fighting Fantasy: The Warlock of Firetop Mountain
Final Fantasy Crystal Chronicles: Echoes of Time
Final Fantasy Crystal Chronicles: Ring of Fates
Final Fantasy Fables: Chocobo Tales
FINAL FANTASY III (3D REMAKE)
FINAL FANTASY IV: THE AFTER YEARS
Final Fantasy Tactics A2: Grimoire of the Rift
Final Fantasy XII: Revenant Wings
Final Fantasy: The 4 Heroes of Light
Fire Emblem: Mystery of the Emblem
Fire Emblem: New Mystery of the Emblem
Fire Emblem: Shadow Dragon
Fire Emblem: Shin Monshou no Nazo
Fire Panic
Fireman Sam: Action Stations
Fish Tycoon
Fishdom
FIZZ
Flametail
Flash Focus: Vision Training in Minutes a Day
Flashlight
Flight Control HD
Flip the Core
Flipnote Studio
Flipper
Flipper 2: Flush the Goldfish
Flipper Critters
Flips More Bloody Horowitz
Flips: Silent But Deadly
Flips: Terror in Cubicle Four
Flips: The Bubonic Builders
Flips: The Enchanted Wood
Flips: The Folk of the Faraway Tree
Flips: The Magic Faraway Tree
Florist Shop
Flower Sun and Rain: Murder and Mystery in Paradise
Flushed Away
Football Academy
Ford Racing 3
Forgotten Legions
Fossil Fighters
Fossil Fighters: Champions
Fossil League: Dino Tournament Championship
Foster's Home for Imaginary Friends: Imagination Invaders
Foto Face: The Face Stealer Strikes
Foto Frenzy: Spot the Difference
Foto Showdown
Franklin's Great Adventures
Freddi Fish: ABC Under the Sea
Freddie Flintoff's Power Play Cricket
Freedom Wings
Frenzic
Freshly-Picked Tingle’s Rosy Rupeeland
Fritz Chess
Frogger Returns
Frogger: Helmet Chaos
From The Abyss
Front Mission 2089: Border of Madness
Front Mission: The First (1995)
Fullmetal Alchemist Trading Card Game
Fullmetal Alchemist: Dual Sympathy
Furry Legends
FutureU: The Prep Game for SAT
G-Force: The Video Game
G.G Series AIR PINBALL HOCKEY
G.G Series ALL BREAKER
G.G Series ALTERED WEAPON
G.G Series ASSAULT BUSTER
G.G Series BLACK X BLOCK
G.G Series CONVEYOR TOY PACKING
G.G Series COSMO RALLY!!
G.G Series D-tank
G.G Series Dark Spirits
G.G Series DRIFT CIRCUIT
G.G Series DRILLING ATTACK!!
G.G Series ENERGY CHAIN
G.G Series EXCITING RIVER
G.G Series GREAT WHIP ADVENTURE
G.G Series HERO PUZZLE
G.G Series Horizontal bar
G.G Series NINJA KARAKURI DEN
G.G Series NYOKKI
G.G Series RUN & STRIKE
G.G Series SCORE ATTACKER
G.G Series SHADOW ARMY
G.G Series SUPER HERO OGRE
G.G Series THE HIDDEN NINJA KAGEMARU
G.G Series THE LAST KNIGHT
G.G Series THE SPIKY BLOWFISH!!
G.G Series THROW OUT
G.G Series VECTOR
G.G Series VERTEX
G.G Series WONDERLAND
G.G Series Z-ONE
G.G Series: Dark Spirits
G.I. Joe The Rise of Cobra
G.I. Joe: Rise of Cobra
Gaia's Moon
Galactic Taz Ball
Galaxy Saver
Game & Watch Collection
Game & Watch Collection 2
Game & Watch: Ball
Game & Watch: Chef
Game & Watch: Donkey Kong Jr.
Game & Watch: Flagman
Game & Watch: Helmet
Game & Watch: Judge
Game & Watch: Manhole
Game & Watch: Mario's Cement Factory
Game & Watch: Vermin
Game Center CX: Arino no Chousenjou
Game Center CX: Arino no Chousenjou 2
Ganbare Goemon: Toukai Douchuu Ooedo Tengurigaeshi no Maki
Gangstar 2: Kings of L.A.
Gardening Guide - How to Get Green Fingers
Gardening Mama
Garfield Fun Fest
Garfield: Tale of Two Kitties
Garfield's Nightmare
Gauntlet
Gem Quest: 4 Elements
Gene Labs
Generator Rex: Agent of Providence
Geometry Wars: Galaxies
George of the Jungle And The Search For The Secret
GHOST TRICK: Phantom Detective
Ghostbusters: The Video Game
Giana Sisters DS
Girl Time
Girls Life: Makeover
Girls Only
Globulos Party
Glory Days - Tactical Defense
Glory Days - The Essence of War
Glory Days 2
Glow Artisan
Go Diego Go! Great Dinosaur Rescue
Go Diego Go! Safari Rescue
Go Fetch!
Go Fetch! 2
GO Series 10 Second Run
GO Series EARTH SAVER
Go Series Fishing Resort
GO Series Picdun
GO Series Tower of Deus
GO Series: Captain Sub
Go Series: Defense Wars
Go Series: Pinball Attack!
GO Series: Portable Shrine Wars
GO Series: Undead Storm
Go West! A Lucky Luke Adventure
Go, Diego Go! Great Dinosaur Rescue
Go! Go! Cosmo Cops!
Go! Go! Kokopolo
Go!Go! Island Rescue!
Godzilla Unleashed: Double Smash
Gogo's Crazy Bones
Gold Fever
Golden Nugget Casino DS
Golden Sun: Dark Dawn
GoldenEye 007 (NDS)
GoldenEye: Rogue Agent (NDS)
Goony
Goooooal América
Goooooal Europa 2012
Goosebumps HorrorLand
GoPets: Vacation Island
Gormiti: The Lords of Nature!
Gourmet Chef
Grand Theft Auto: Chinatown Wars
Green Lantern: Rise of the Manhunters
Greg Hastings' Tournament Paintball Max'd
Gremlins Gizmo
Grey's Anatomy: The Video Game
GRID (2008)
Guilty Gear Dust Strikers
Guinness World Records: The Videogame
Guitar Hero On Tour: Decades
Guitar Hero On Tour: Modern Hits
Guitar Hero: On Tour
Guitar Rock Tour
Gummy Bears Mini Golf
Gummy Bears Minigolf
Gunpey
Gunpey (DS)
Gunpey DS
Hair Salon
Hakuoki: Demon of the Fleeting Blossom
Halloween:Trick or Treat
Hamsterz Life
Hands On! Tangrams
Hannah Montana
Hannah Montana The Movie
Hannah Montana: Music Jam
Happily Ever After Vol 1
Happily Ever After Vol 2
Happy Bakery
Happy Birthday Mart
Happy Cooking
Happy Feet
Happy Feet Two: The Videogame
Hard-Hat Domo
Harlem Globetrotters World Tour
Harry Potter and the Deathly Hallows: Part 1
Harry Potter and the Deathly Hallows: Part 2
Harry Potter and the Goblet of Fire (GBA/NDS)
Harry Potter and the Half-Blood Prince
Harry Potter and the Order of the Phoenix
Harvest Moon DS
Harvest Moon DS Cute
Harvest Moon DS: Grand Bazaar
Harvest Moon DS: Island of Happiness
Harvest Moon DS: The Tale of Two Towns
Harvest Moon: Frantic Farming
Harvest Moon: Sunshine Islands
Hasbro Family Game Night
Hasbro Family Game Night Volume 2
Hayarigami DS: Toshidensetsu Kaii Jiken
Hayate no Gotoku!
Hearts Spades Euchre
Heathcliff Frantic Foto
Heavy Armor Brigade
Hell's Kitchen Vs.
Hell's Kitchen: The Video Game
Hello Baby!
Hello Flowerz
Hello Kitty Big City Dreams
Hello Kitty Birthday Adventures
Hello Kitty Party
Hellokids - Vol. 1: Coloring and Painting
Henry Hatsworth in the Puzzling Adventure
Hero of Sparta
Hero's Saga Laevatein Tactics
Heroes of Mana
Hi Hi Puffy AmiYumi: The Genie & the Amp
Hi! Hamtaro: Ham-Ham Challenge
Hidden Mysteries: Buckingham Palace
Hidden Photo
High School Musical 2: Work This Out
High School Musical 3: Senior Year
High School Musical: Makin' the Cut
High Stakes Texas Hold 'Em
High Stakes: Texas Hold'Em
Hiiro No Kakera
Hints Hunter
Hip Hop King Rytmik
Hokuto no Ken - Hokuto Shinken Denshosha no Michi​
Holly Hobbie & Friends
Homie Rollerz
Honeycomb Beat
HOP
Hoppie
Horrid Henry's Horrid Adventure
Horse Life
Horse Life Adventures
Horsez
Hoshigami Remix
Hoshigami: Ruining Blue Earth Remix
Hospital Giant
Hospital Havoc
Hot and Cold: A 3D Hidden Object Adventure
Hot Wheels Battle Force 5
Hot Wheels: Beat That! (DS)
Hotel Dusk: Room 215
Hotel for Dogs
Hotel Giant DS
Hotel Transylvania
House M.D. - Episode 1: Globetrotting
House M.D. - Episode 2: Blue Meanie
House M.D. - Episode 3: Skull and Bones
House M.D. - Episode 4: Crashed
House M.D. - Episode 5: Under the Big Top
How to Train Your Dragon
Hurry Up Hedgehog!
Hysteria Hospital: Emergency Ward
I am in the Movie
I Love Beauty: Hollywood Makeover
I Love Horses
I Must Run!
I SPY Castle
I SPY Fun House
I SPY Game Pack
iCarly
iCarly: Groovy Foodie!
Ice Age 2: The Meltdown (DS)
Ice Age: Continental Drift - Arctic Games (3DS/DS)
Ice Age: Dawn of the Dinosaurs (DS)
Igor the Game
Ikibago
